From	To
Q15542	Q15542
A0A0B4J2F2	A0A0B4J2F2
Q13485	Q13485
O95716	O95716
Q96FQ7	Q96FQ7
Q96MP5	Q96MP5
Q96FB2	Q96FB2
Q9H8M9	Q9H8M9
P26640	P26640
O95139	O95139
Q8IWZ6	Q8IWZ6
Q96F63	Q96F63
Q76NI1	Q76NI1
P55854	P55854
Q9UI17	Q9UI17
P51178	P51178
Q6EER8	P0CAP2
Q6EER8	P0CAP1
Q9NPI9	Q9NPI9
Q9BQ67	Q9BQ67
P62820	P62820
Q8TC56	Q8TC56
Q8N883	Q8N883
P15516	P15516
Q92954	Q92954
P78381	P78381
Q9BY07	Q9BY07
Q06787	Q06787
Q5VVW2	Q5VVW2
Q08AG5	Q08AG5
Q4VC15	Q4VC15
Q00888	Q00888
Q58FF6	Q58FF6
H7C5G9	H7C5G9
Q9NYW0	Q9NYW0
Q9HBU9	Q9HBU9
Q6PKC6	Q6PKC6
C9J1Q0	Q03989
P47872	P47872
Q5VY60	Q5VY60
Q2NL68	Q2NL68
Q7Z5H5	Q7Z5H5
Q9UQB3	Q9UQB3
Q68CR1	Q68CR1
P40198	P40198
Q9NV89	Q9NV89
A6NNY8	A6NNY8
Q9UBQ6	Q9UBQ6
Q9BW85	Q9BW85
P46020	P46020
Q9BYR0	Q9BYR0
Q8NFJ5	Q8NFJ5
P41212	P41212
Q9NP81	Q9NP81
B2R6J3	B2R6J3
Q5SNT2	Q5SNT2
Q7Z4H7	Q7Z4H7
O60844	O60844
Q8N446	Q8N446
O15354	O15354
Q13751	Q13751
O14709	O14709
Q5HYK3	Q5HYK3
Q9P0L0	Q9P0L0
Q8WVK7	Q8WVK7
Q6NXG1	Q6NXG1
Q12952	Q12952
Q9Y251	Q9Y251
Q8NEZ3	Q8NEZ3
Q6SA08	Q6SA08
P49802	P49802
Q8NEL9	Q8NEL9
Q0VAK6	Q0VAK6
O60239	O60239
O00629	O00629
Q7Z5G4	Q7Z5G4
Q9ULX3	Q9ULX3
P23946	P23946
Q99795	Q99795
Q96PV0	Q96PV0
P35749	P35749
P53004	P53004
Q5TDH0	Q5TDH0
A8K5H9	A8K5H9
Q969S6	Q969S6
Q16531	Q16531
Q8N2H9	Q8N2H9
P33402	P33402
O15540	O15540
Q1JUL4	Q1JUL4
P11277	P11277
Q96MV1	Q96MV1
Q9P246	Q9P246
Q9Y4D8	Q9Y4D8
Q96QV6	Q96QV6
Q9UG01	Q9UG01
Q9NXZ2	Q9NXZ2
Q8N573	Q8N573
P01011	P01011
B2ZZ90	Q13085
Q96A70	Q96A70
Q9BRT9	Q9BRT9
Q6IAW1	Q6IAW1
Q59GP6	Q59GP6
Q86X53	Q86X53
Q96BV0	Q96BV0
Q08AD1	Q08AD1
Q8TAK5	Q8TAK5
Q96LC7	Q96LC7
Q8NI99	Q8NI99
Q01201	Q01201
Q9BVM4	Q9BVM4
C0H5X2	C0H5X2
Q8TF09	Q8TF09
P04908	P04908
Q92800	Q92800
Q15768	Q15768
P50993	P50993
P62857	P62857
Q9MY50	Q9MY50
Q9NVS2	Q9NVS2
Q96R72	Q96R72
Q15642	Q15642
Q15375	Q15375
Q8WWZ1	Q8WWZ1
O15116	O15116
O15342	O15342
Q6EKJ0	Q6EKJ0
P0CG37	P0CG37
Q53GC0	Q53GC0
Q32Q12	Q32Q12
Q8WYH8	Q8WYH8
Q9ULW3	Q9ULW3
P25116	P25116
P23743	P23743
P07477	P07477
Q76KD6	Q76KD6
P49448	P49448
O95201	O95201
Q96HU8	Q96HU8
Q8NH19	Q8NH19
J3KS15	J3KS15
P24557	P24557
P49682	P49682
A0A0X1KG71	Q8WX92
A4D1N4	A4D1N4
Q96L08	Q96L08
P11245	P11245
A2RUC4	A2RUC4
Q8WVN8	Q8WVN8
P83881	P83881
Q96L11	Q96L11
P16619	P16619
A0A024R1L7	A0A024R1L7
Q8IZ48	Q8IZ48
P06276	P06276
Q8TC92	Q8TC92
Q9Y2I7	Q9Y2I7
Q969S2	Q969S2
Q6DN03	Q6DN03
P56211	P56211
Q8N8H1	Q8N8H1
Q9H7F0	Q9H7F0
F8WBZ7	Q9NR21
P26439	P26439
Q53H82	Q53H82
O14735	O14735
P21796	P21796
Q9BY42	Q9BY42
Q99755	Q99755
Q92837	Q92837
Q5VYS4	Q5VYS4
Q9C0C4	Q9C0C4
Q6ZS82	Q6ZS82
P14927	P14927
Q0JRZ9	Q0JRZ9
F8VY35	F8VY35
Q4VAQ0	Q4VAQ0
Q99501	Q99501
Q13794	Q13794
Q86YP4	Q86YP4
Q8N9I9	Q8N9I9
Q9UBE0	Q9UBE0
Q3KR16	Q3KR16
P46100	P46100
Q9UHL0	Q9UHL0
Q6P1J6	Q6P1J6
Q14012	Q14012
Q8IYT2	Q8IYT2
Q9UL46	Q9UL46
Q9P016	Q9P016
A5PLN9	A5PLN9
Q8NAM6	Q8NAM6
O76009	O76009
Q16581	Q16581
O14744	O14744
O95202	O95202
Q9GZM8	Q9GZM8
P07315	P07315
O43186	O43186
Q12933	Q12933
O14862	O14862
A9UHW6	A9UHW6
Q8N428	Q8N428
P60660	P60660
Q8N442	Q8N442
Q49A92	Q49A92
O96014	O96014
Q86VL0	Q86VL0
O95399	O95399
Q9P2M1	Q9P2M1
Q53SS8	Q53SS8
P07954	P07954
Q9Y276	Q9Y276
Q8NDB6	Q8NDB6
O75845	O75845
Q3SYA9	Q3SYA9
Q4G0J3	Q4G0J3
Q9NY28	Q9NY28
Q16760	Q16760
O95393	O95393
O75191	O75191
E9PAU2	E9PAU2
Q9NSC5	Q9NSC5
Q16827	Q16827
P30679	P30679
I3L402	I3L402
Q9Y228	Q9Y228
Q9GZP8	Q9GZP8
O75553	O75553
P56192	P56192
Q8IUX7	Q8IUX7
Q13112	Q13112
Q8NE09	Q8NE09
Q9Y5Y5	Q9Y5Y5
Q9Y2R2	Q9Y2R2
Q86WS5	Q86WS5
Q8NAT2	Q8NAT2
Q9Y6R7	Q9Y6R7
Q5SRH9	Q5SRH9
Q92988	Q92988
Q96QT4	Q96QT4
Q9NQ86	Q9NQ86
O15375	O15375
Q9NZ43	Q9NZ43
O75899	O75899
Q6DKI1	Q6DKI1
Q8NHS2	Q8NHS2
Q13501	Q13501
P27037	P27037
P61218	P61218
Q06828	Q06828
P35813	P35813
H0Y413	H0Y413
P78527	P78527
P59923	P59923
Q86XN8	Q86XN8
Q2TAK1	Q2TAK1
Q92543	Q92543
Q7Z2E3	Q7Z2E3
Q58EZ8	Q58EZ8
Q8IZD4	Q8IZD4
Q8IX03	Q8IX03
O75841	O75841
Q12923	Q12923
P49638	P49638
P32322	P32322
P11215	P11215
P54792	P54792
P23634	P23634
G5E9A7	G5E9A7
Q5MIZ7	Q5MIZ7
Q04743	Q04743
Q7L1H2	Q7L1H2
Q9UQM7	Q9UQM7
Q4VC31	Q4VC31
Q6ZRP7	Q6ZRP7
O15511	O15511
O75439	O75439
Q9Y3D6	Q9Y3D6
Q86TC9	Q86TC9
Q9UKQ9	Q9UKQ9
Q6ZUS5	Q6ZUS5
Q9HA64	Q9HA64
Q9Y6N1	Q9Y6N1
O15460	O15460
Q6P1L8	Q6P1L8
A0A024R275	A0A024R275
Q9BYE3	Q9BYE3
P49593	P49593
Q9UKV3	Q9UKV3
Q5VU65	Q5VU65
Q96A56	Q96A56
Q96SZ6	Q96SZ6
P01375	P01375
P07951	P07951
Q8TBR0	Q8TBR0
Q96SJ8	Q96SJ8
P36575	P36575
O95302	O95302
Q6PIJ6	Q6PIJ6
P20290	P20290
Q12904	Q12904
Q8NFH3	Q8NFH3
Q9ULM6	Q9ULM6
Q99062	Q99062
Q96DB2	Q96DB2
Q9BYP8	Q9BYP8
O00746	O00746
P02008	P02008
Q6TDP4	Q6TDP4
Q8IX12	Q8IX12
O75822	O75822
Q6ZT07	Q6ZT07
Q9NYF8	Q9NYF8
Q8WV83	Q8WV83
Q6Y7W6	Q6Y7W6
Q9H799	Q9H799
P09486	P09486
Q99627	Q99627
J3QRU1	J3QRU1
P09683	P09683
H7C2E6	H7C2E6
Q5TZK3	Q5TZK3
Q96LR5	Q96LR5
Q5SW24	Q5SW24
B4DY08	B4DY08
Q8N539	Q8N539
P49789	P49789
Q9UK08	Q9UK08
O15209	O15209
Q9BQ50	Q9BQ50
Q8TBK9	Q8TBK9
P47900	P47900
Q969J3	Q969J3
Q8WTS6	Q8WTS6
O00590	O00590
P43088	P43088
Q9H2P9	Q9H2P9
A2A368	A2A368
Q6UW56	Q6UW56
Q9BQ16	Q9BQ16
Q9BRK4	Q9BRK4
Q8N1B4	Q8N1B4
Q96MF6	Q96MF6
P55822	P55822
Q8N7X4	Q8N7X4
Q2KJY2	Q2KJY2
Q6BDI9	Q6BDI9
P22694	P22694
P01009	P01009
Q02643	Q02643
O43827	O43827
Q9Y4U1	Q9Y4U1
O75817	O75817
Q9P2T1	Q9P2T1
Q96PM9	Q96PM9
Q14563	Q14563
Q96CS4	Q96CS4
Q6UWP8	Q6UWP8
Q92813	Q92813
O60678	O60678
E9PB61	E9PB61
Q96F31	Q96F31
Q8N5W8	Q8N5W8
Q8N508	Q8N508
Q9H2C0	Q9H2C0
O15391	O15391
Q9BT17	Q9BT17
Q16828	Q16828
Q9H6Q4	Q9H6Q4
P57060	P57060
Q9BUN1	Q9BUN1
Q9UGI8	Q9UGI8
Q9BVA1	Q9BVA1
Q9HA90	Q9HA90
Q96CB9	Q96CB9
Q86WN1	Q86WN1
Q9ULV1	Q9ULV1
Q92581	Q92581
Q8IXH6	Q8IXH6
Q9Y623	Q9Y623
Q9BYJ1	Q9BYJ1
O75563	O75563
Q08426	Q08426
P60411	P60411
Q9GZY4	Q9GZY4
Q96LR4	Q96LR4
Q3LI73	Q3LI73
Q07687	Q07687
Q8N5C7	Q8N5C7
P13671	P13671
Q7Z7K6	Q7Z7K6
Q15388	Q15388
Q02747	Q02747
Q13029	Q13029
Q99714	Q99714
Q96JB7	P0CAP2
Q96JB7	P0CAP1
Q9ULI0	Q9ULI0
Q14896	Q14896
Q86XR8	Q86XR8
Q9Y2I6	Q9Y2I6
Q8N441	Q8N441
P04080	P04080
Q9BR84	Q9BR84
P63167	P63167
Q9Y458	Q9Y458
Q643R3	Q643R3
Q5JUK9	Q5JUK9
Q9BY84	Q9BY84
A0A140LJL1	A0A140LJL1
A0A087WW39	A0A087WW39
P51572	P51572
P22466	P22466
Q12802	Q12802
Q86VG3	Q86VG3
Q13519	Q13519
Q969V3	Q969V3
B4DVT3	B4DVT3
Q9Y5Z6	Q9Y5Z6
Q01892	Q01892
P28715	P28715
Q7Z6K5	Q7Z6K5
P50914	P50914
Q9NRY5	Q9NRY5
P0CI26	P0CI26
P07948	P07948
P60508	P60508
O75027	O75027
H0YKG7	H0YKG7
Q8NHS1	Q8NHS1
Q86TR8	Q86TR8
O75911	O75911
Q8IY57	Q8IY57
P25205	P25205
Q9H4B7	Q9H4B7
Q5T2K0	Q5T2K0
A0A0A0MQS1	A0A0A0MQS1
P11465	P11465
Q8NA03	Q8NA03
Q9BU64	Q9BU64
P16050	P16050
Q9HAR2	Q9HAR2
Q07627	Q07627
Q8N302	Q8N302
O15394	O15394
O95817	O95817
Q9Y6S9	Q9Y6S9
Q9BT56	Q9BT56
P19961	P19961
H0YK48	H0YK48
Q8TE68	Q8TE68
Q9H3J6	Q9H3J6
Q8NHS0	Q8NHS0
Q9Y6F9	Q9Y6F9
Q9H0A9	Q9H0A9
Q7Z4T8	Q7Z4T8
Q7Z4N2	Q7Z4N2
Q9BV38	Q9BV38
P45954	P45954
Q9UF33	Q9UF33
P78330	P78330
Q4G0S4	Q4G0S4
O94952	O94952
Q96CV9	Q96CV9
Q8N475	Q8N475
Q14469	Q14469
P50750	P50750
Q9Y2J4	Q9Y2J4
Q9H706	Q9H706
P60371	P60371
H0Y2M0	H0Y2M0
Q8TDN7	Q8TDN7
Q6NVY1	Q6NVY1
M0QXS5	M0QXS5
P31629	P31629
K7EM38	K7EM38
P32019	P32019
Q8ND04	Q8ND04
Q8NEF3	Q8NEF3
P10767	P10767
Q9NS84	Q9NS84
P04792	P04792
A1L306	A1L306
O15439	O15439
A0A140T8Z8	A0A140T8Z8
Q8NEP4	O43236
Q8N5I9	Q8N5I9
Q6PGQ1	Q6PGQ1
Q8N6C8	Q8N6C8
P09016	P09016
Q9UKP5	Q9UKP5
Q7Z3H0	Q7Z3H0
O60747	O60747
O60478	O60478
P49321	P49321
Q8NFQ8	Q8NFQ8
Q6UN15	Q6UN15
O75110	O75110
P08865	P08865
P06702	P06702
Q8WUW6	Q8WUW6
Q53H47	Q53H47
Q9H4I2	Q9H4I2
Q9BRV8	Q9BRV8
Q96ST2	Q96ST2
P27824	P27824
Q8TAG6	Q8TAG6
Q96EK6	Q96EK6
P24311	P24311
A6NJU9	A6NJU9
O75081	O75081
Q6IBD0	Q6IBD0
Q9UK97	Q9UK97
Q96A61	Q96A61
B4DPD5	B4DPD5
P58304	P58304
P52895	P52895
Q9Y316	Q9Y316
P57737	P57737
P24158	P24158
Q8WZ04	Q8WZ04
Q96DN7	Q96DN7
Q15596	Q15596
Q00722	Q00722
P52798	P52798
Q8WYR1	Q8WYR1
P21731	P21731
A0A0C4DG91	A0A0C4DG91
Q8NBD8	Q8NBD8
P08195	P08195
Q9Y5P3	Q9Y5P3
O00295	O00295
Q8WXB4	Q8WXB4
P28336	P28336
Q96PX8	Q96PX8
Q5T0J7	Q5T0J7
Q8IWQ3	Q8IWQ3
O75444	O75444
Q9NQW6	Q9NQW6
P40121	P40121
Q6IBW4	Q6IBW4
E9PHB6	E9PHB6
Q68DC2	Q68DC2
Q495W5	Q495W5
Q9UGI6	Q9UGI6
P02549	P02549
P46937	P46937
Q96QE4	Q96QE4
Q6PIS1	Q6PIS1
Q9BYN7	Q9BYN7
Q8N6C5	Q8N6C5
P10266	P10266
Q8WWZ3	Q8WWZ3
Q8N0V3	Q8N0V3
P68133	P68133
P49767	P49767
Q8TE99	Q8TE99
Q8IWX7	Q8IWX7
Q53F65	Q53F65
Q9H3S3	Q9H3S3
Q7Z5L9	Q7Z5L9
Q9Y297	Q9Y297
Q16695	Q16695
Q8NCN4	Q8NCN4
O14512	O14512
O60603	O60603
Q6P1J9	Q6P1J9
P82675	P82675
Q96LI5	Q96LI5
Q8IZ53	Q8IZ53
Q96M63	Q96M63
Q9HBR3	Q9HBR3
Q75MW2	Q75MW2
Q9BRA2	Q9BRA2
A2RUH7	A2RUH7
Q8NDD1	Q8NDD1
Q13114	Q13114
Q5VSY0	Q5VSY0
P43356	P43356
P10113	P62833
P10113	P62834
P10113	P62835
P10113	P62836
Q96CM8	Q96CM8
P23468	P23468
Q96S95	Q96S95
Q9UH99	Q9UH99
B4DDV3	B4DDV3
Q8TCT9	Q8TCT9
Q6ZNR0	Q6ZNR0
Q7Z2T5	Q7Z2T5
Q8N5Q5	Q8N5Q5
P11137	P11137
P31040	P31040
Q8WTQ7	Q8WTQ7
P36894	P36894
Q9NSB4	Q9NSB4
Q9BZG9	P0DP57
Q9BZG9	P0DP58
Q93075	Q93075
P62826	P62826
Q86XS8	Q86XS8
Q13070	Q13070
Q15116	Q15116
O15481	O15481
P18433	P18433
P12272	P12272
Q502X0	Q502X0
Q8NC24	Q8NC24
Q8IW41	Q8IW41
Q8N4Y2	Q8N4Y2
Q9BQN1	Q9BQN1
Q9H939	Q9H939
Q16540	Q16540
Q8IUW5	Q8IUW5
O75879	O75879
P55036	P55036
Q9NRZ5	Q9NRZ5
Q9H7P6	Q9H7P6
Q3MSN4	Q3MSN4
O15056	O15056
Q15782	Q15782
A4D161	A4D161
Q9BVV6	Q9BVV6
Q9Y272	Q9Y272
Q8IWU5	Q8IWU5
Q9NWJ2	Q9NWJ2
O75844	O75844
Q9UKB5	Q9UKB5
Q8N693	Q8N693
Q8TDN2	Q8TDN2
P13489	P13489
Q8TDQ0	Q8TDQ0
Q9BXX0	Q9BXX0
Q9BZD2	Q9BZD2
Q96B97	Q96B97
Q00653	Q00653
Q9NZ20	Q9NZ20
O14893	O14893
O15516	O15516
Q99766	Q99766
Q5TEC3	Q5TEC3
Q96L92	Q96L92
O75594	O75594
P17301	P17301
O75362	O75362
O43736	O43736
Q99733	Q99733
P81133	P81133
C9JCN9	C9JCN9
Q52LG2	Q52LG2
Q9H7Z7	Q9H7Z7
Q8N6D2	Q8N6D2
Q9Y5U4	Q9Y5U4
Q86T65	Q86T65
Q969V5	Q969V5
Q96JG8	Q96JG8
P50052	P50052
Q9P0L1	Q9P0L1
Q59GL9	Q59GL9
Q9BZB8	Q9BZB8
P62750	P62750
Q9UBS3	Q9UBS3
P32942	P32942
Q15043	Q15043
Q8N9W6	Q8N9W6
O95050	O95050
Q9HAU0	Q9HAU0
P48436	P48436
Q9Y478	Q9Y478
P08397	P08397
Q96G79	Q96G79
H3BS42	H3BS42
Q05C46	Q05C46
P43355	P43355
Q9Y6N7	Q9Y6N7
Q9GZY6	Q9GZY6
Q86W25	Q86W25
Q9BTF3	Q9BTF3
P51811	P51811
Q96AP7	Q96AP7
O14807	O14807
O15455	O15455
O15212	O15212
P01042	P01042
Q8NG95	Q8NG95
Q7Z782	Q7Z782
Q96KW9	Q96KW9
Q9UBU8	Q9UBU8
Q9UBB9	Q9UBB9
Q9BPY8	Q9BPY8
Q9NZM1	Q9NZM1
Q9NPJ4	Q9NPJ4
Q9NYJ8	Q9NYJ8
P54278	P54278
O00763	O00763
H0YCX2	H0YCX2
Q16881	Q16881
P31152	P31152
Q96A08	Q96A08
P12645	P12645
P13805	P13805
Q14588	Q14588
Q9HCH5	Q9HCH5
Q9BSE5	Q9BSE5
P08729	P08729
Q9ULS5	Q9ULS5
O43313	O43313
B7Z6H4	B7Z6H4
Q2VYF4	Q2VYF4
P55287	P55287
Q8NE63	Q8NE63
Q96S86	Q96S86
Q9NSK7	Q9NSK7
Q9NRA8	Q9NRA8
P12931	P12931
Q969Z3	Q969Z3
P01210	P01210
Q5T215	Q5T215
Q15758	Q15758
P36383	P36383
Q6N022	Q6N022
Q92496	Q92496
A8K3H8	A8K3H8
Q8N5B7	Q8N5B7
Q96NC0	Q96NC0
O15381	O15381
Q9UQ53	Q9UQ53
O43447	O43447
Q53G25	Q53G25
Q92908	Q92908
P56589	P56589
Q6NXQ0	Q6NXQ0
Q6ZRK6	Q6ZRK6
Q96PU5	Q96PU5
Q8IUX8	Q8IUX8
Q8WTQ4	Q8WTQ4
Q9ULK5	Q9ULK5
Q93073	Q93073
Q8N4G2	Q8N4G2
P10316	P04439
D3DR86	D3DR86
O95563	O95563
O75015	O75015
O14607	O14607
P53350	P53350
Q9BX73	Q9BX73
Q8IZP9	Q8IZP9
Q9Y2G2	Q9Y2G2
Q15404	Q15404
P17029	P17029
P11473	P11473
Q86YR7	Q86YR7
Q53QD4	Q53QD4
Q9BXS1	Q9BXS1
Q9Y5K3	Q9Y5K3
Q9Y4C4	Q9Y4C4
Q15652	Q15652
Q9BRT7	Q9BRT7
Q8N9Z9	Q8N9Z9
Q15475	Q15475
P08842	P08842
P33316	P33316
P18507	P18507
Q8TBM8	Q8TBM8
Q6ZMM2	Q6ZMM2
Q8WV35	Q8WV35
Q5VUM1	Q5VUM1
Q9NVG8	Q9NVG8
Q17R54	Q17R54
A0A1B0GVF2	Q8NCU1
Q8NE00	Q8NE00
Q92733	Q92733
Q9BPY3	Q9BPY3
Q00532	Q00532
Q7Z5S9	Q7Z5S9
P11498	P11498
Q9NQL2	Q9NQL2
Q6NVI2	Q6NVI2
A0A0C4DFQ0	Q5VU43
Q9H7D7	Q9H7D7
O60412	O60412
Q70E73	Q70E73
Q8NFD5	Q8NFD5
Q14142	Q14142
Q9H1Q7	Q9H1Q7
Q13795	Q13795
Q5VT25	Q5VT25
Q06330	Q06330
Q9Y676	Q9Y676
Q16698	Q16698
Q8IYR2	Q8IYR2
Q8NDZ6	Q8NDZ6
Q499Y8	Q499Y8
Q9UKQ2	Q9UKQ2
Q9BSJ2	Q9BSJ2
Q9P0U3	Q9P0U3
O75061	O75061
O14958	O14958
P56182	P56182
Q96KC2	Q96KC2
A0A0C4DGW9	A0A0C4DGW9
Q9UM19	Q9UM19
P11086	P11086
P22307	P22307
Q8IWR0	Q8IWR0
Q3SY17	Q3SY17
Q08170	Q08170
A8K6V3	A8K6V3
Q14914	Q14914
Q8IW36	Q8IW36
Q9UK53	Q9UK53
Q9UI10	Q9UI10
Q14205	Q14205
Q9BYJ0	Q9BYJ0
P25100	P25100
Q9Y5Q8	Q9Y5Q8
Q8TD26	Q8TD26
Q16667	Q16667
Q2TAA5	Q2TAA5
Q9NQW5	Q9NQW5
P78509	P78509
D9YZU9	D9YZU9
Q59EB5	Q59EB5
Q01658	Q01658
Q8NEH6	Q8NEH6
Q9UHP6	Q9UHP6
Q49AH0	Q49AH0
Q6ZT98	Q6ZT98
Q9BVG4	Q9BVG4
P09871	P09871
Q14183	Q14183
Q96T67	Q96T67
Q14532	Q14532
A0A0C4DFT8	A0A0C4DFT8
Q9H444	Q9H444
Q9BR01	Q9BR01
Q9NPD3	Q9NPD3
Q96FI0	Q96FI0
O43169	O43169
O43156	O43156
Q5VYS8	Q5VYS8
Q9NVD3	Q9NVD3
Q96NZ9	Q96NZ9
P03915	P03915
A6NHR9	A6NHR9
H0Y9Y3	H0Y9Y3
Q10981	Q10981
Q9P2E7	Q9P2E7
Q14974	Q14974
O00463	O00463
Q8IY84	Q8IY84
Q8N6S5	Q8N6S5
Q5T8I9	Q5T8I9
P48664	P48664
Q9C004	Q9C004
P55075	P55075
Q02388	Q02388
Q5VZ52	Q5VZ52
P17844	P17844
Q7Z417	Q7Z417
P02763	P02763
Q02078	Q02078
Q9H9E1	Q9H9E1
P11717	P11717
Q6IQ43	Q6IQ43
Q9BX10	Q9BX10
O43283	O43283
Q9NP73	Q9NP73
Q8TAF3	Q8TAF3
Q9ULM2	Q9ULM2
O14776	O14776
O96028	O96028
Q8WW33	Q8WW33
Q6NUQ1	Q6NUQ1
Q6ZVU3	Q6ZVU3
P01229	P01229
Q6ZS10	Q6ZS10
Q9BZE1	Q9BZE1
Q96IC2	Q96IC2
Q5VZ18	Q5VZ18
Q8N895	Q8N895
Q6XZF7	Q6XZF7
P0CG12	P0CG12
P31323	P31323
Q7Z4H1	Q7Z4H1
O15287	O15287
Q6NXE6	Q6NXE6
Q86YQ8	Q86YQ8
Q8N2Y6	Q8N2Y6
Q15165	Q15165
O75956	O75956
Q6IAU3	Q6IAU3
Q13043	Q13043
O14787	O14787
P62910	P62910
Q96KE9	Q96KE9
Q8N3A8	Q8N3A8
Q99697	Q99697
Q9Y2H5	Q9Y2H5
J3KP15	J3KP15
O14782	O14782
Q9BRX5	Q9BRX5
H7C4S4	H7C4S4
O75386	O75386
A8K2U0	A8K2U0
Q5TDP6	Q5TDP6
Q6UX72	Q6UX72
Q9BXR6	Q9BXR6
P30260	P30260
O95298	O95298
H0Y9L7	H0Y9L7
Q9NV56	Q9NV56
P01709	P01709
Q6J9G0	Q6J9G0
Q9Y291	Q9Y291
O60447	O60447
P13798	P13798
Q9NYB5	Q9NYB5
Q7RTY1	Q7RTY1
Q96S44	Q96S44
O75923	O75923
P21283	P21283
Q8IWL1	Q8IWL1
Q53HC5	Q53HC5
Q9Y2H6	Q9Y2H6
Q6RFH8	Q6RFH8
Q9Y2P5	Q9Y2P5
P46531	P46531
Q8IZP6	Q8IZP6
Q9NXG2	Q9NXG2
Q14839	Q14839
Q8N1N0	Q8N1N0
Q496A3	Q496A3
Q6UXN9	Q6UXN9
Q8NA72	Q8NA72
Q8NEY3	Q8NEY3
Q06945	Q06945
Q8NFM7	Q8NFM7
Q08188	Q08188
E7EU96	E7EU96
P32754	P32754
Q5T5M9	Q5T5M9
O95866	O95866
O95155	O95155
Q5TF39	Q5TF39
P20701	P20701
Q15022	Q15022
Q13344	Q13344
Q96I27	Q96I27
P51816	P51816
Q9H0B6	Q9H0B6
Q13625	Q13625
C9JNE2	C9JNE2
Q8WU39	Q8WU39
Q6IA61	Q6IA61
Q8IUL8	Q8IUL8
P25800	P25800
Q9NRB3	Q9NRB3
J3KQ26	J3KQ26
P56693	P56693
Q75LP0	Q75LP0
Q9NQQ7	Q9NQQ7
P00966	P00966
Q9Y2X0	Q9Y2X0
P0C7U0	P0C7U0
Q6X4U4	Q6X4U4
O43808	O43808
Q12794	Q12794
Q9NPH9	Q9NPH9
O95390	O95390
Q95460	Q95460
V9HWF5	V9HWF5
Q5JTV8	Q5JTV8
Q15435	Q15435
P01737	P01737
O75554	O75554
Q86UU5	Q86UU5
Q6NVZ8	Q6NVZ8
Q9C0F0	Q9C0F0
Q6UXK2	Q6UXK2
Q9P265	Q9P265
Q8NGX2	Q8NGX2
Q9NPI1	Q9NPI1
Q12906	Q12906
P21506	P21506
O75920	O75920
Q96FS4	Q96FS4
P62837	P62837
Q9H4G1	Q9H4G1
Q9NSI6	Q9NSI6
P62913	P62913
Q06250	Q06250
Q99748	Q99748
P0C853	P0C853
Q8NI60	Q8NI60
Q9H078	Q9H078
Q9BRN9	Q9BRN9
P25391	P25391
P06746	P06746
Q9BRR6	Q9BRR6
Q9NUI1	Q9NUI1
Q56P03	Q56P03
Q9UBV7	Q9UBV7
Q9NQE7	Q9NQE7
Q8N7Y1	Q8N7Y1
P12111	P12111
Q5JS54	Q5JS54
P40313	P40313
P14222	P14222
P14866	P14866
P17542	P17542
P62988	P0CG47
P62988	P62987
P62988	P62979
P62988	P0CG48
Q6NVV1	Q6NVV1
Q99990	Q99990
Q92620	Q92620
Q9BW60	Q9BW60
Q9NX08	Q9NX08
Q32MK9	Q32MK9
Q52LD8	Q52LD8
Q8IWA5	Q8IWA5
Q9UBP6	Q9UBP6
Q9UJ72	Q9UJ72
Q8NEP3	Q8NEP3
Q9P104	Q9P104
Q7L7V1	Q7L7V1
P56817	P56817
Q5MJ08	Q5MJ08
Q5T700	Q5T700
O75071	O75071
Q13023	Q13023
Q0P6D6	Q0P6D6
Q8N9T8	Q8N9T8
Q15560	Q15560
Q14807	Q14807
A1L390	A1L390
Q9UL62	Q9UL62
P78539	P78539
Q02338	Q02338
R4GMX3	R4GMX3
Q9UBZ4	Q9UBZ4
Q9HC16	Q9HC16
Q8WVC0	Q8WVC0
Q6N063	Q6N063
Q96HP0	Q96HP0
Q9Y5Q9	Q9Y5Q9
Q9NRG1	Q9NRG1
Q96KM6	Q96KM6
Q8IWP3	Q8IWP3
Q5XX13	Q5XX13
Q9NYB9	Q9NYB9
P12882	P12882
Q969G9	Q969G9
O43347	O43347
O43566	O43566
Q9Y240	Q9Y240
P17174	P17174
O75317	O75317
Q96KN4	Q96KN4
Q96AJ9	Q96AJ9
Q96QK1	Q96QK1
Q8NDF8	Q8NDF8
Q05469	Q05469
Q8NDV2	Q8NDV2
Q8WVN6	Q8WVN6
Q14CS0	Q14CS0
Q9Y689	Q9Y689
A8KAD6	Q2TBE0
P62312	P62312
Q5TCD1	Q5TCD1
P28288	P28288
P07203	P07203
Q9UHY7	Q9UHY7
P78559	P78559
Q969F0	Q969F0
Q6IBN1	P61978
Q16798	Q16798
Q9HAN9	Q9HAN9
B4DM97	B4DM97
A0A024RC46	A0A024RC46
P33076	P33076
G5E9H3	G5E9H3
O75487	O75487
Q9Y2M0	Q9Y2M0
P55884	P55884
Q9Y657	Q9Y657
O60313	O60313
P07510	P07510
O75063	O75063
Q9NSN8	Q9NSN8
Q9BVC6	Q9BVC6
Q6PJW8	Q6PJW8
P10636	P10636
P07492	P07492
Q9Y279	Q9Y279
Q8TC12	Q8TC12
Q96RS6	Q96RS6
Q8N4Q1	Q8N4Q1
Q9NVH1	Q9NVH1
Q8N6M9	Q8N6M9
O95754	O95754
